"","Top","p.value","FDR","summary.logFC","logFC","r","tf","CellType","tag"
"Fibroblast.SOX11",188,0.0868358481382538,0.165819518519325,-0.373488130355686,-0.373488130355686,-0.23,"SOX11","Fibroblast","ns"
"Fibroblast.SOX13",212,0.135270963666686,0.2290673394167,-0.322040885244045,-0.322040885244045,-0.112,"SOX13","Fibroblast","ns"
"Fibroblast.SOX2",22,0.000103424699740107,0.00162831820570609,-0.752953129863498,-0.752953129863498,-0.464,"SOX2","Fibroblast","**"
"Fibroblast.SOX4",258,0.288987944108671,0.402118883469043,-0.248388591174058,-0.248388591174058,-0.444,"SOX4","Fibroblast","ns"
"Fibroblast.SOX6",287,0.436151120710779,0.544252052195654,-0.162241291790668,-0.162241291790668,-0.0843,"SOX6","Fibroblast","ns"
"Fibroblast.SOX9",235,0.209600367067828,0.320198007563193,0.25012530810362,0.25012530810362,0.148,"SOX9","Fibroblast","ns"
"Fibroblast.SP1",168,0.0581471301281869,0.124254879262018,-0.406358254916835,-0.406358254916835,-0.197,"SP1","Fibroblast","ns"
"Fibroblast.SP2",59,0.00141519822148672,0.00861112138158868,0.648703521113229,0.648703521113229,0.322,"SP2","Fibroblast","**"
"Fibroblast.SP3",67,0.00254624567257862,0.0136433163650108,-0.754421593857389,-0.754421593857389,-0.338,"SP3","Fibroblast","*"
"Fibroblast.SP4",341,0.851874344749963,0.893910298347047,-0.0423379239314403,-0.0423379239314403,-0.0275,"SP4","Fibroblast","ns"
"Fibroblast.SPDEF",336,0.772303992489607,0.82517003959455,0.0498925997407452,0.0498925997407452,-0.381,"SPDEF","Fibroblast","ns"
"Fibroblast.SPI1",357,0.987870520281918,0.991150895911913,-0.00338403230818374,-0.00338403230818374,0.0086,"SPI1","Fibroblast","ns"
"Fibroblast.SPIB",156,0.0406951282336905,0.0936509681788134,-0.526041996767261,-0.526041996767261,-0.176,"SPIB","Fibroblast","ns"
"Fibroblast.SREBF1",132,0.0172551720498643,0.0469288391356158,0.4528909972468,0.4528909972468,0.25,"SREBF1","Fibroblast","*"
"Fibroblast.SREBF2",99,0.00737666078590752,0.0267497093145535,-0.553284279343509,-0.553284279343509,-0.264,"SREBF2","Fibroblast","*"
"Fibroblast.SRF",27,0.000179536387221239,0.00238716900046018,-0.85565605311968,-0.85565605311968,-0.395,"SRF","Fibroblast","**"
"Fibroblast.STAT1",307,0.576686701170755,0.674366533290883,-0.120114308204617,-0.120114308204617,-0.115,"STAT1","Fibroblast","ns"
"Fibroblast.STAT2",6,3.78085912710048e-06,0.000226221404438179,0.653516337953625,0.653516337953625,0.562,"STAT2","Fibroblast","***"
"Fibroblast.STAT3",251,0.262732535115804,0.375780797237345,-0.210275019266478,-0.210275019266478,-0.189,"STAT3","Fibroblast","ns"
"Fibroblast.STAT4",34,0.000286253345325615,0.00302249855799694,0.4683223572521,0.4683223572521,0.33,"STAT4","Fibroblast","**"
"Fibroblast.STAT5A",246,0.244254973362464,0.35564612774336,0.212800783193237,0.212800783193237,0.129,"STAT5A","Fibroblast","ns"
"Fibroblast.STAT5B",60,0.00148847241625159,0.00890602662390535,-0.554135775349477,-0.554135775349477,-0.315,"STAT5B","Fibroblast","**"
