receptor,tf
Camk2b,Pou5f1
Camk2b,Rela
Camk2b,Runx2
Camk2b,Ski
Camk2b,Smad3
Camk2b,Smad4
Camk2b,Sox2
Camk2b,Sp1
Camk2b,Sp3
Camk2b,Stat1
Camk2b,Tal1
Camk2b,Terf1
Camk2b,Twist1
Camk2d,Cebpb
Camk2d,Creb1
Camk2d,Crem
Camk2d,Dlx5
Camk2d,E2f1
Camk2d,Foxa2
Camk2d,Foxg1
Camk2d,Foxo1
Camk2d,Foxo3
Camk2d,Foxo4
Camk2d,Foxo6
Camk2d,Gata1
Camk2d,Gata2
Camk2d,Hand1
Camk2d,Hes5
Camk2d,Hsf1
Camk2d,Ikzf1
Camk2d,Mef2d
Camk2d,Mitf
Camk2d,Mxd1
Camk2d,Myt1
Camk2d,Nfatc2
Camk2d,Nr4a1
Camk2d,Nrf1
Camk2d,Pou5f1
Camk2d,Runx2
Camk2d,Ski
Camk2d,Smad3
Camk2d,Smad4
Camk2d,Sox2
Camk2d,Sp1
Camk2d,Sp3
Camk2d,Stat1
Camk2d,Tal1
Camk2d,Tbp
Camk2d,Terf1
Camk2d,Twist1
Camk2g,Atf1
Camk2g,Cebpb
Camk2g,Creb1
Camk2g,Crem
Camk2g,Dlx5
Camk2g,E2f1
Camk2g,Elk1
Camk2g,Fos
Camk2g,Foxa2
Camk2g,Foxg1
Camk2g,Foxo1
Camk2g,Foxo3
Camk2g,Foxo4
Camk2g,Foxo6
Camk2g,Gata1
Camk2g,Gata2
Camk2g,Gcm1
Camk2g,Hand1
Camk2g,Hes5
Camk2g,Hoxc8
Camk2g,Hsf1
Camk2g,Ikzf1
Camk2g,Irf3
Camk2g,Irf5
Camk2g,Irf7
Camk2g,Jun
Camk2g,Mitf
Camk2g,Mxd1
Camk2g,Myb
Camk2g,Myc
Camk2g,Myt1
Camk2g,Nfatc1
Camk2g,Nfatc2
Camk2g,Nfatc3
Camk2g,Nfatc4
Camk2g,Nfkb1
Camk2g,Nr4a1
