"","ligands_human"
"1280","TGFB1"
"1281","TGFB1"
"1282","TGFB1"
"1283","TGFB1"
"1284","TGFB1"
"1285","TGFB1"
"1286","TGFB1"
"1287","TGFB1"
"1288","TGFB1"
"1289","TGFB1"
"1290","TGFB1"
"1291","TGFB1"
"1292","TGFB1"
"1293","TGFB1"
"1294","TGFB1"
"1295","TGFB1"
"1296","TGFB1"
"1297","TGFB1"
"1298","TGFB1"
"1299","TGFB1"
"1300","TGFB1"
"1301","TGFB1"
"1302","TGFB1"
"1303","TGFB1"
"1304","TGFB1"
"1305","TGFB1"
"1306","TGFB1"
"1307","TGFB1"
"1308","TGFB1"
"1309","TGFB1"
"1310","TGFB1"
"1311","TGFB1"
"1312","TGFB1"
"1313","TGFB1"
"1314","TGFB1"
"1315","TGFB1"
"1316","TGFB1"
"1317","TGFB1"
"1318","TGFB1"
"1319","TGFB1"
"1320","TGFB1"
"1321","TGFB1"
"1322","TGFB1"
"1323","TGFB1"
"1324","TGFB1"
"1325","TGFB1"
"1326","TGFB1"
"1327","TGFB1"
"1328","TGFB1"
"1329","TGFB1"
"1330","TGFB1"
"1331","TGFB1"
"1332","TGFB1"
"1333","TGFB1"
"1334","TGFB1"
"1335","TGFB1"
"1336","TGFB1"
"1337","TGFB1"
"1338","TGFB1"
"1339","TGFB1"
"1340","TGFB1"
"1341","TGFB1"
"1342","TGFB1"
"1343","TGFB1"
"1344","TGFB1"
"1345","TGFB1"
"1346","TGFB1"
"1347","TGFB1"
"1348","TGFB1"
"1349","TGFB1"
"1350","TGFB1"
"1351","TGFB1"
"1352","TGFB1"
"1353","NGF"
"1354","NGF"
"1355","NGF"
"1356","NGF"
"1357","NGF"
"1358","NGF"
"1359","NGF"
"1360","NGF"
"1361","NGF"
"1362","NGF"
"1363","NGF"
"1364","NGF"
"1365","NGF"
"1366","NGF"
"1367","NGF"
"1368","NGF"
"1369","NGF"
"1370","NGF"
"1371","NGF"
"1372","NGF"
"1373","NGF"
"1374","NGF"
"1375","NGF"
"1376","NGF"
"1377","GNRH1"
"1378","GNRH1"
"1379","GNRH1"
"1380","GNRH1"
"1381","GNRH1"
"1382","NPPA"
"1383","NPPA"
"1384","NPPA"
"1385","NPPA"
"1386","NPPA"
"1387","NPPA"
"1388","NPPA"
"1389","NPPA"
"1390","NPPA"
"1391","NPPA"
"1392","NPPA"
"1393","NPPA"
"1394","OXT"
"1395","OXT"
"1396","OXT"
"1397","OXT"
"1398","OXT"
"1399","AVP"
"1400","AVP"
"1401","AVP"
"1402","AVP"
"1403","AVP"
"1404","AVP"
"1405","AVP"
"1406","AVP"
"1407","AVP"
"1408","AVP"
"1409","AVP"
"1410","AVP"
"1411","AVP"
"1412","AVP"
"1413","AVP"
"1414","AVP"
"1415","AVP"
"1416","AVP"
"1417","AVP"
"1418","AVP"
