receptor,tf
CAMK2G,HSF1
CAMK2G,IKZF1
CAMK2G,JUN
CAMK2G,MITF
CAMK2G,MXD1
CAMK2G,MYC
CAMK2G,MYT1
CAMK2G,NFATC1
CAMK2G,NFATC2
CAMK2G,NFATC3
CAMK2G,NFATC4
CAMK2G,NR4A1
CAMK2G,NRF1
CAMK2G,PITX2
CAMK2G,POU4F1
CAMK2G,POU5F1
CAMK2G,RELA
CAMK2G,RUNX2
CAMK2G,SKI
CAMK2G,SMAD3
CAMK2G,SMAD4
CAMK2G,SOX2
CAMK2G,SP1
CAMK2G,SP3
CAMK2G,STAT1
CAMK2G,TAL1
CAMK2G,TBP
CAMK2G,TERF1
CAMK2G,TFEB
CAMK2G,TP53
CAMK2G,TWIST1
CAMK2G,YBX1
CAMK2G,ZNF322
CAMKK1,AIRE
CAMKK1,ARNT
CAMKK1,ASCL1
CAMKK1,ATF1
CAMKK1,ATF2
CAMKK1,ATF4
CAMKK1,ATF5
CAMKK1,ATOH1
CAMKK1,CEBPD
CAMKK1,CREB1
CAMKK1,CREB3
CAMKK1,CREM
CAMKK1,CUX2
CAMKK1,DDIT3
CAMKK1,DLX5
CAMKK1,E2F1
CAMKK1,EGR1
CAMKK1,ELF1
CAMKK1,ELK1
CAMKK1,EPAS1
