,group,names,scores,logfoldchanges,pvals,pvals_adj,Unnamed: 0,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
12,Neural,ATF6,4.386871,0.42245367,1.1499309669313456e-05,0.0041282521712835,MTF1,7.77449761155908e-15,1.39606179883805,0.01,0.214,2.79104464254971e-12,Neural,MTF1
13,Neural,NFYB,4.3729825,2.1465948,1.2256043211176835e-05,0.0043999195128124,THAP11,1.00820092831726e-14,5.14118638418417,0.733,0.377,3.6194413326589696e-12,Neural,THAP11
14,Neural,RARA,4.305279,2.4661195,1.667756128433025e-05,0.0059872445010745,ATF5,1.2036745991563e-14,1.65004929242671,0.03,0.221,4.32119181097112e-12,Neural,ATF5
15,Neural,TFDP1,4.1386228,1.3520724,3.4939687120712323e-05,0.0125433476763357,MEF2D,1.45595405671935e-14,0.759048639332143,0.208,0.266,5.2268750636224595e-12,Neural,MEF2D
16,Neural,CXXC4,3.671639,1.0039966,0.0002410000190967,0.0865190068557178,HSF2,1.57938089720092e-14,0.635865638685065,0.99,1.0,5.669977420951309e-12,Neural,HSF2
17,Neural,ETS2,3.6299748,1.4068928,0.0002834487463665,0.1017580999455798,ATF1,1.10691286632286e-13,1.9911548630476,0.911,0.455,3.97381719009906e-11,Neural,ATF1
18,Neural,MYNN,3.376519,2.001104,0.0007340929994789,0.2635393868129304,ZNF740,9.86667844775745e-13,3.00358142526412,0.772,0.494,3.54213756274493e-10,Neural,ZNF740
19,Neural,SOX9,3.364367,1.0656699,0.0007671944831041,0.2754228194344006,FOXL2,2.31093236002881e-12,1.56029623337773,0.218,0.299,8.29624717250343e-10,Neural,FOXL2
20,Neural,ZNF384,3.326175,1.679043,0.0008804662392766,0.3160873799003091,FOXO4,9.965989055650279e-11,0.0539405884443547,0.04,0.24,3.57779007097845e-08,Neural,FOXO4
21,Neural,ZNF639,3.1994472,1.6832628,0.0013769147316184,0.494312388651021,NFYC,5.28034472231982e-10,2.54266311235588,0.248,0.357,1.89564375531281e-07,Neural,NFYC
22,Neural,NFE2L2,3.135215,1.2891254,0.0017172815616726,0.6165040806404949,KMT2A,1.7866235115283602e-09,2.43457380801434,0.515,0.221,6.41397840638682e-07,Neural,KMT2A
23,Neural,TFAP2A,3.0432072,2.15343,0.002340711787001,0.8403155315333839,EGR1,5.305406613052361e-09,1.73214934317959,0.634,0.312,1.9046409740858e-06,Neural,EGR1
24,Neural,PPARG,2.963351,4.213686,0.0030430922174163,1.0,FOXK2,5.995933186477e-08,3.50764180594872,0.584,0.26,2.15254001394524e-05,Neural,FOXK2
25,Neural,CEBPZ,2.9494631,3.900704,0.0031832655062325,1.0,FOXK1,1.69786745911239e-07,2.52599087206641,0.743,0.597,6.09534417821346e-05,Neural,FOXK1
26,Neural,SPI1,2.8643992,1.8883456,0.0041780116224643,1.0,GABPA,1.89997783951826e-07,3.56941861639388,0.634,0.325,6.82092044387056e-05,Neural,GABPA
27,Neural,ATF4,2.7671833,1.3075306,0.0056542973249501,1.0,DUX4,2.35427374583495e-07,3.29701322160804,0.505,0.24,8.45184274754749e-05,Neural,DUX4
28,Neural,RARB,2.7532952,1.2982988,0.0058998672650103,1.0,IRF3,6.8409080624528e-07,2.38675048749144,0.653,0.377,0.000245588599442,Neural,IRF3
29,Neural,IRF2,2.7394073,1.4825916,0.0061550089281584,1.0,CEBPA,1.67819558482082e-06,0.108858636965434,0.614,0.39,0.0006024722149506,Neural,CEBPA
30,Neural,GFI1B,2.6317751,2.324051,0.0084940038031103,1.0,FLI1,2.01117060416636e-06,2.56209821054963,0.356,0.195,0.0007220102468957,Neural,FLI1
31,Neural,NFYA,2.3887353,1.7520117,0.0169064784276056,1.0,ZNF750,2.13563635984102e-06,1.84236963241224,0.267,0.162,0.0007666934531829,Neural,ZNF750
32,Neural,YY1,2.3817914,1.4268725,0.017228658471033,1.0,POU5F1,2.28694362040728e-06,0.174875087255279,0.317,0.188,0.0008210127597262,Neural,POU5F1
33,Neural,FOXP1,2.3383913,0.556604,0.0193669580183587,1.0,KLF3,4.26986532665972e-06,5.90332890731832,0.505,0.234,0.0015328816522708,Neural,KLF3
34,Neural,ZHX2,2.1630554,0.77181065,0.0305369216740381,1.0,KLF4,7.53418322824135e-06,0.648167913839962,0.723,0.481,0.0027047717789386,Neural,KLF4
35,Neural,BACH1,2.1179194,0.78375727,0.0341818962727155,1.0,ONECUT1,9.52579477890031e-06,2.291428187419,0.426,0.247,0.0034197603256252,Neural,ONECUT1
36,Neural,HBP1,2.0814633,0.6606607,0.037391511932625,1.0,ATF6,1.15452262379415e-05,2.85539906910001,0.178,0.383,0.0041447362194209,Neural,ATF6
37,Neural,NRF1,1.9998714,1.1233851,0.0455141509081894,1.0,NFYB,1.23048839506449e-05,2.74776278236388,0.851,0.721,0.0044174533382815,Neural,NFYB
38,Neural,SP2,1.9043914,1.5006167,0.0568592232454074,1.0,RARA,1.67430784256435e-05,1.27597376577846,0.743,0.506,0.006010765154806,Neural,RARA
39,Neural,RARG,1.8280075,0.13046797,0.0675484317310837,1.0,TFDP1,3.5072090432074e-05,1.44171918516855,0.921,0.792,0.0125908804651146,Neural,TFDP1
40,Neural,STAT1,1.6457275,0.9358163,0.0998198713465043,1.0,CTCFL,3.53383278405696e-05,3.5937700608851,0.525,0.338,0.0126864596947645,Neural,CTCFL
41,Neural,E2F4,1.5919116,0.38730177,0.1114045841175552,1.0,E2F6,7.15418906582337e-05,2.7142221457419,0.545,0.305,0.0256835387463059,Neural,E2F6
42,Neural,IRF9,1.4512956,1.0873635,0.146697573508604,1.0,MAFF,9.76123201241669e-05,1.63592806541171,0.376,0.253,0.0350428229245759,Neural,MAFF
43,Neural,BHLHE40,1.3835917,0.9105,0.1664835440167065,1.0,ARID3A,0.0001471901313518,0.337229789715219,0.584,0.383,0.0528412571553099,Neural,ARID3A
44,Neural,TGIF2,1.2967917,0.27964926,0.1947028953543628,1.0,SNAPC4,0.0001482236150669,4.36916628136204,0.515,0.305,0.0532122778090399,Neural,SNAPC4
45,Neural,MEF2A,1.2377676,0.8602024,0.2158022320589037,1.0,CXXC4,0.0002418200015624,0.714626854577336,0.95,0.877,0.0868133805609252,Neural,CXXC4
46,Neural,DEAF1,1.0641677,0.67153996,0.2872527423508759,1.0,ETS2,0.0002844034223896,0.153183172476784,0.406,0.325,0.102100828637873,Neural,ETS2
