,source,target,gene_A,gene_B,type_gene_A,type_gene_B,MeanLR
470,Fibroblast,Fibroblast,ITGB1,SP3,Receptor,Transcription Factor,0.50126592672831
471,Fibroblast,Fibroblast,PTPRF,SP3,Receptor,Transcription Factor,0.50126592672831
472,Fibroblast,Fibroblast,TGFBR1,SP3,Receptor,Transcription Factor,0.50126592672831
473,Fibroblast,Fibroblast,ITGB1,SRF,Receptor,Transcription Factor,0.234372324649371
474,Fibroblast,Fibroblast,LRP6,SRF,Receptor,Transcription Factor,0.234372324649371
475,Fibroblast,Fibroblast,PTPRF,SRF,Receptor,Transcription Factor,0.234372324649371
476,Fibroblast,Fibroblast,TGFBR1,SRF,Receptor,Transcription Factor,0.234372324649371
490,Fibroblast,Fibroblast,ITGB1,TCF4,Receptor,Transcription Factor,0.0549859994106509
491,Fibroblast,Fibroblast,PTPRF,TCF4,Receptor,Transcription Factor,0.0549859994106509
494,Fibroblast,Fibroblast,DIP2A,TEAD1,Receptor,Transcription Factor,0.21483514473726
495,Fibroblast,Fibroblast,INSR,TEAD1,Receptor,Transcription Factor,0.21483514473726
496,Fibroblast,Fibroblast,ITGB1,TEAD1,Receptor,Transcription Factor,0.21483514473726
497,Fibroblast,Fibroblast,PDGFRB,TEAD1,Receptor,Transcription Factor,0.21483514473726
498,Fibroblast,Fibroblast,PTPRF,TEAD1,Receptor,Transcription Factor,0.21483514473726
499,Fibroblast,Fibroblast,TGFBR1,TEAD1,Receptor,Transcription Factor,0.21483514473726
500,Fibroblast,Fibroblast,DIP2A,TEAD4,Receptor,Transcription Factor,0.211239002801953
501,Fibroblast,Fibroblast,INSR,TEAD4,Receptor,Transcription Factor,0.211239002801953
502,Fibroblast,Fibroblast,ITGB1,TEAD4,Receptor,Transcription Factor,0.211239002801953
503,Fibroblast,Fibroblast,PDGFRB,TEAD4,Receptor,Transcription Factor,0.211239002801953
504,Fibroblast,Fibroblast,PTPRF,TEAD4,Receptor,Transcription Factor,0.211239002801953
505,Fibroblast,Fibroblast,TGFBR1,TEAD4,Receptor,Transcription Factor,0.211239002801953
507,Fibroblast,Fibroblast,INSR,TWIST1,Receptor,Transcription Factor,0.160043499530428
508,Fibroblast,Fibroblast,ITGB1,TWIST1,Receptor,Transcription Factor,0.160043499530428
509,Fibroblast,Fibroblast,MET,TWIST1,Receptor,Transcription Factor,0.160043499530428
510,Fibroblast,Fibroblast,NTRK2,TWIST1,Receptor,Transcription Factor,0.160043499530428
511,Fibroblast,Fibroblast,PDGFRB,TWIST1,Receptor,Transcription Factor,0.160043499530428
512,Fibroblast,Fibroblast,PTPRF,TWIST1,Receptor,Transcription Factor,0.160043499530428
513,Fibroblast,Fibroblast,TGFBR1,TWIST1,Receptor,Transcription Factor,0.160043499530428
517,Fibroblast,Fibroblast,INSR,YBX1,Receptor,Transcription Factor,0.206732200094754
518,Fibroblast,Fibroblast,ITGB1,YBX1,Receptor,Transcription Factor,0.206732200094754
519,Fibroblast,Fibroblast,MET,YBX1,Receptor,Transcription Factor,0.206732200094754
520,Fibroblast,Fibroblast,NTRK2,YBX1,Receptor,Transcription Factor,0.206732200094754
521,Fibroblast,Fibroblast,PDGFRB,YBX1,Receptor,Transcription Factor,0.206732200094754
522,Fibroblast,Fibroblast,PTPRF,YBX1,Receptor,Transcription Factor,0.206732200094754
523,Fibroblast,Fibroblast,TGFBR1,YBX1,Receptor,Transcription Factor,0.206732200094754
524,Fibroblast,Fibroblast,ITGB1,ZC3H8,Receptor,Transcription Factor,0.392546033004998
525,Fibroblast,Fibroblast,PTPRF,ZC3H8,Receptor,Transcription Factor,0.392546033004998
536,Megakaryocyte,Megakaryocyte,ITGB1,CREB3,Receptor,Transcription Factor,0.244712170242161
537,Megakaryocyte,Megakaryocyte,PTPRF,CREB3,Receptor,Transcription Factor,0.244712170242161
564,Megakaryocyte,Megakaryocyte,FZD5,MYB,Receptor,Transcription Factor,0.290048336592291
565,Megakaryocyte,Megakaryocyte,INSR,MYB,Receptor,Transcription Factor,0.290048336592291
566,Megakaryocyte,Megakaryocyte,ITGB1,MYB,Receptor,Transcription Factor,0.290048336592291
567,Megakaryocyte,Megakaryocyte,NCL,MYB,Receptor,Transcription Factor,0.290048336592291
568,Megakaryocyte,Megakaryocyte,NTRK2,MYB,Receptor,Transcription Factor,0.290048336592291
