"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PAX51",1.2245921899513e-09,5.05214334410509,0.767,0.272,4.39628596192515e-07,"Megakaryocyte","PAX5"
"DNMT1",3.64741002413052e-09,1.89339128861761,0.967,0.859,1.30942019866286e-06,"Megakaryocyte","DNMT1"
"ZBED1",3.4022417091704e-08,1.95381531708574,1,1,1.22140477359217e-05,"Megakaryocyte","ZBED1"
"NFATC11",5.70477413881168e-08,2.5603146040221,1,0.718,2.04801391583339e-05,"Megakaryocyte","NFATC1"
"SMAD51",3.33906214205171e-07,3.2151652073622,1,1,0.000119872330899657,"Megakaryocyte","SMAD5"
"PAX61",4.03786459543823e-07,0.00868997349363543,1,0.995,0.000144959338976233,"Megakaryocyte","PAX6"
"NFIA",5.39571582702568e-07,2.70480533938984,0.833,0.286,0.000193706198190222,"Megakaryocyte","NFIA"
"ETS1",9.02412825904685e-07,2.88309013008694,0.967,0.84,0.000323966204499782,"Megakaryocyte","ETS1"
"VDR",2.13926425995601e-06,1.5827670491303,1,0.995,0.000767995869324207,"Megakaryocyte","VDR"
"SIX51",8.00118716520337e-06,1.20444235975317,1,0.958,0.00287242619230801,"Megakaryocyte","SIX5"
"CREM",1.07582183304156e-05,6.91081353555095,0.667,0.3,0.00386220038061919,"Megakaryocyte","CREM"
"PITX11",1.7180494746629e-05,2.13869756609122,0.867,0.737,0.0061677976140398,"Megakaryocyte","PITX1"
"SRF1",1.8288223978681e-05,0.395099683493388,0.933,0.638,0.00656547240834649,"Megakaryocyte","SRF"
"ZFX",2.78338456927894e-05,1.46605658485193,1,0.962,0.00999235060371141,"Megakaryocyte","ZFX"
"KLF5",3.03156925488027e-05,2.87467296172486,0.9,0.836,0.0108833336250202,"Megakaryocyte","KLF5"
"ZNF207",3.30069317203078e-05,1.70722535909282,0.933,0.709,0.0118494884875905,"Megakaryocyte","ZNF207"
"TEAD2",5.45688878806799e-05,1.31062655868089,1,0.887,0.0195902307491641,"Megakaryocyte","TEAD2"
"BCL61",0.000102189165844339,2.80586330861474,0.633,0.319,0.0366859105381177,"Megakaryocyte","BCL6"
"ESR21",0.000118470803647918,0.670628126179611,1,0.873,0.0425310185096025,"Megakaryocyte","ESR2"
"TWIST21",0.000122560902038808,0.00223195830399892,0.2,0.437,0.0439993638319319,"Megakaryocyte","TWIST2"
"HIC1",0.000160416136559003,0.753890673480542,0.933,0.953,0.0575893930246821,"Megakaryocyte","HIC1"
"FOXP3",0.000286368026947504,1.11409171396573,0.1,0.056,0.102806121674154,"Megakaryocyte","FOXP3"
"BCL11A1",0.000332599027476317,1.98066394736481,0.867,0.751,0.119403050863998,"Megakaryocyte","BCL11A"
"SPI1",0.000354476151617744,2.08481477015881,0.8,0.596,0.12725693843077,"Megakaryocyte","SPI1"
"ZKSCAN1",0.00073108883000023,2.05118167321562,0.9,0.779,0.262460889970082,"Megakaryocyte","ZKSCAN1"
"HIVEP2",0.000738498469801136,2.23022301706689,0.933,0.864,0.265120950658608,"Megakaryocyte","HIVEP2"
"NFYB",0.000800335564150431,0.416072604408352,1,0.808,0.287320467530005,"Megakaryocyte","NFYB"
"MAF1",0.0010566206426947,3.71628793358955,0.6,0.357,0.379326810727396,"Megakaryocyte","MAF"
"KLF13",0.00160109558245334,2.28338227656322,0.867,0.869,0.574793314100749,"Megakaryocyte","KLF13"
"ZNF382",0.00161638986819538,1.69829523593176,0.733,0.728,0.58028396268214,"Megakaryocyte","ZNF382"
"CDX1",0.00274624207108403,0.273704633691987,0.133,0.127,0.985900903519165,"Megakaryocyte","CDX1"
"CREB5",0.00362820019831325,2.0354220295678,0.567,0.155,1,"Megakaryocyte","CREB5"
"NFAT5",0.00382610920594,1.43288567901812,0.667,0.254,1,"Megakaryocyte","NFAT5"
"ETV6",0.00440273436643045,1.17721806223378,0.833,0.643,1,"Megakaryocyte","ETV6"
"BACH21",0.00451923934150322,1.7048581680336,0.8,0.573,1,"Megakaryocyte","BACH2"
"NFYA",0.00532424731509873,0.763862253446486,0.933,0.784,1,"Megakaryocyte","NFYA"
"ZBTB33",0.00589723743624138,0.485366702228314,1,0.991,1,"Megakaryocyte","ZBTB33"
"MYC1",0.00783458197317048,1.89050999844061,1,0.967,1,"Megakaryocyte","MYC"
"SMAD1",0.00937457637422925,1.6471561352349,0.967,0.869,1,"Megakaryocyte","SMAD1"
"RARG",6.38411046665164e-10,4.17886986230954,0.913,0.627,2.29189565752794e-07,"Myeloid","RARG"
"GLI11",1.06344049669085e-09,1.62268801349604,0.913,0.309,3.81775138312015e-07,"Myeloid","GLI1"
"CEBPE",3.91871588771054e-09,6.81636825121541,0.783,0.295,1.40681900368808e-06,"Myeloid","CEBPE"
"RARB",6.49784039201652e-09,3.45964721039639,0.913,0.618,2.33272470073393e-06,"Myeloid","RARB"
"DNMT11",1.80078735252126e-05,0.983246135543673,1,0.859,0.00646482659555131,"Myeloid","DNMT1"
"SPI11",0.000359587945225198,1.27088864642278,0.87,0.595,0.129092072335846,"Myeloid","SPI1"
"ELF5",0.00124539084518658,1.26281318316852,0.913,0.618,0.447095313421983,"Myeloid","ELF5"
"NFAT51",0.00221392562906848,1.07873419736426,0.565,0.277,0.794799300835584,"Myeloid","NFAT5"
"MYB1",0.00576890794337484,3.11766100111317,0.739,0.491,1,"Myeloid","MYB"
"NR2C2",0.00665020234706805,0.429566800421424,0.826,0.536,1,"Myeloid","NR2C2"
